Date,Open,High,Low,Close,Adj Close,Volume
2020-09-15,21.980000,22.080000,21.549999,21.670000,21.670000,58546700
2020-09-16,21.850000,21.990000,21.600000,21.730000,21.730000,50379500
2020-09-17,21.510000,22.170000,21.459999,22.150000,22.150000,60432200
2020-09-18,21.990000,22.150000,21.549999,21.650000,21.650000,64243500
2020-09-21,21.290001,21.459999,20.809999,20.900000,20.900000,73300000
2020-09-22,20.959999,21.350000,20.750000,20.799999,20.799999,47207700
2020-09-23,20.799999,20.959999,20.200001,20.230000,20.230000,57106300
2020-09-24,20.240000,20.709999,20.059999,20.400000,20.400000,76310000
2020-09-25,20.150000,20.260000,19.870001,20.129999,20.129999,40150400
2020-09-28,20.330000,20.559999,19.629999,19.629999,19.629999,48797400
2020-09-29,19.629999,19.860001,19.250000,19.309999,19.309999,52878100
2020-09-30,19.500000,20.040001,19.430000,19.610001,19.610001,69505000
2020-10-01,19.639999,20.059999,19.129999,19.850000,19.850000,77537300
2020-10-02,19.730000,19.740000,19.020000,19.020000,19.020000,85306000
2020-10-05,19.360001,20.160000,19.240000,20.030001,20.030001,73288500
2020-10-06,20.469999,20.700001,19.930000,19.930000,19.930000,77064600
2020-10-07,20.000000,20.049999,19.559999,19.790001,19.790001,53521000
2020-10-08,20.040001,20.590000,19.860001,20.440001,20.440001,78070400
2020-10-09,20.340000,20.389999,19.799999,19.799999,19.799999,67962300
2020-10-13,19.910000,20.129999,19.730000,20.129999,20.129999,55330600
2020-10-14,20.090000,20.370001,19.969999,19.969999,19.969999,44584300
